Foo Fighters,male group,1994
Arctic Monkeys,male group,2002
Muse,male group,1994
Twenty One Pilots,male group,2009
My Chemical Romance,male group,2001
Coldplay,male group,1998
Led Zeppelin,male group,1968
Pink Floyd,male group,1965
The Rolling Stones,male group,1962
Nirvana,male group,1987
AC/DC,male group,1973
